t_s,true_tank_level_m,reported_tank_level_m,independent_level_m,true_source_level_m,true_inflow_m3_s,true_outflow_m3_s,demand_m3_s,service_shortfall_ratio,spill_volume_m3,pump_energised,pump_permitted,valve_position,requested_setpoint_m,effective_setpoint_m,supervisory_available,consequence_level,violated_invariants
17.500000,3.149687,3.151000,3.150000,6.000000,0.000000,0.037152,0.037152,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
18.000000,3.148238,3.147000,3.150000,6.000000,0.000000,0.034769,0.034769,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
18.500000,3.146808,3.142000,3.150000,6.000000,0.000000,0.034318,0.034318,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
19.000000,3.145365,3.142000,3.170000,6.000000,0.000000,0.034640,0.034640,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
19.500000,3.143923,3.148000,3.160000,6.000000,0.000000,0.034602,0.034602,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
20.000000,3.142367,3.154000,3.140000,6.000000,0.000000,0.037352,0.037352,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
20.500000,3.140912,3.142000,3.140000,6.000000,0.000000,0.034899,0.034899,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
21.000000,3.139313,3.138000,3.140000,6.000000,0.000000,0.038397,0.038397,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
21.500000,3.137721,3.144000,3.130000,6.000000,0.000000,0.038201,0.038201,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
22.000000,3.136322,3.143000,3.130000,6.000000,0.000000,0.033577,0.033577,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
22.500000,3.134993,3.130000,3.130000,6.000000,0.000000,0.031900,0.031900,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
23.000000,3.133400,3.136000,3.120000,6.000000,0.000000,0.038225,0.038225,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
23.500000,3.132019,3.140000,3.150000,6.000000,0.000000,0.033146,0.033146,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
24.000000,3.130526,3.125000,3.130000,6.000000,0.000000,0.035836,0.035836,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
24.500000,3.129154,3.128000,3.140000,6.000000,0.000000,0.032930,0.032930,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
25.000000,3.127754,3.124000,3.130000,6.000000,0.000000,0.033600,0.033600,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
25.500000,3.126150,3.128000,3.130000,6.000000,0.000000,0.038489,0.038489,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
26.000000,3.124565,3.132000,3.130000,6.000000,0.000000,0.038033,0.038033,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
26.500000,3.123009,3.121000,3.120000,6.000000,0.000000,0.037336,0.037336,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
27.000000,3.121695,3.123000,3.100000,6.000000,0.000000,0.031555,0.031555,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
27.500000,3.120343,3.122000,3.120000,6.000000,0.000000,0.032440,0.032440,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
28.000000,3.118854,3.118000,3.110000,6.000000,0.000000,0.035734,0.035734,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
28.500000,3.117399,3.125000,3.120000,6.000000,0.000000,0.034920,0.034920,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
29.000000,3.116006,3.125000,3.110000,6.000000,0.000000,0.033437,0.033437,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
29.500000,3.114477,3.109000,3.110000,6.000000,0.000000,0.036689,0.036689,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
30.000000,3.112907,3.118000,3.100000,6.000000,0.000000,0.037682,0.037682,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
30.500000,3.111551,3.115000,3.100000,6.000000,0.000000,0.032537,0.032537,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
31.000000,3.109988,3.113000,3.110000,6.000000,0.000000,0.037525,0.037525,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
31.500000,3.108448,3.112000,3.100000,6.000000,0.000000,0.036961,0.036961,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
32.000000,3.106864,3.116000,3.090000,6.000000,0.000000,0.038009,0.038009,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
32.500000,3.105544,3.105000,3.100000,6.000000,0.000000,0.031674,0.031674,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
33.000000,3.103980,3.105000,3.100000,6.000000,0.000000,0.037548,0.037548,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
33.500000,3.102413,3.105000,3.090000,6.000000,0.000000,0.037605,0.037605,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
34.000000,3.101012,3.102000,3.100000,6.000000,0.000000,0.033636,0.033636,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
34.500000,3.099603,3.108000,3.110000,6.000000,0.000000,0.033798,0.033798,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
35.000000,3.098174,3.104000,3.100000,6.000000,0.000000,0.034298,0.034298,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
35.500000,3.096579,3.102000,3.100000,6.000000,0.000000,0.038293,0.038293,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
36.000000,3.095139,3.095000,3.090000,6.000000,0.000000,0.034542,0.034542,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
36.500000,3.093715,3.090000,3.090000,6.000000,0.000000,0.034196,0.034196,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
37.000000,3.092132,3.084000,3.080000,6.000000,0.000000,0.037979,0.037979,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
37.500000,3.090713,3.097000,3.100000,6.000000,0.000000,0.034050,0.034050,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
38.000000,3.089154,3.088000,3.100000,6.000000,0.000000,0.037436,0.037436,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
38.500000,3.087724,3.087000,3.100000,6.000000,0.000000,0.034317,0.034317,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
39.000000,3.086214,3.092000,3.100000,6.000000,0.000000,0.036241,0.036241,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
39.500000,3.084901,3.084000,3.080000,6.000000,0.000000,0.031503,0.031503,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
40.000000,3.083453,3.080000,3.090000,6.000000,0.000000,0.034755,0.034755,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
40.500000,3.081908,3.083000,3.080000,6.000000,0.000000,0.037072,0.037072,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
41.000000,3.080498,3.084000,3.070000,6.000000,0.000000,0.033846,0.033846,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
41.500000,3.079127,3.083000,3.080000,6.000000,0.000000,0.032894,0.032894,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
42.000000,3.077794,3.072000,3.090000,6.000000,0.000000,0.032010,0.032010,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
42.500000,3.076337,3.077000,3.080000,6.000000,0.000000,0.034961,0.034961,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
43.000000,3.074800,3.079000,3.100000,6.000000,0.000000,0.036890,0.036890,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
43.500000,3.073336,3.077000,3.060000,6.000000,0.000000,0.035126,0.035126,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
44.000000,3.071790,3.064000,3.060000,6.000000,0.000000,0.037110,0.037110,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
44.500000,3.070218,3.064000,3.070000,6.000000,0.000000,0.037740,0.037740,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
45.000000,3.068745,3.075000,3.070000,6.000000,0.000000,0.035335,0.035335,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
45.500000,3.067361,3.062000,3.070000,6.000000,0.000000,0.033231,0.033231,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
46.000000,3.065968,3.070000,3.070000,6.000000,0.000000,0.033422,0.033422,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
46.500000,3.064498,3.067000,3.050000,6.000000,0.000000,0.035281,0.035281,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
47.000000,3.063167,3.058000,3.070000,6.000000,0.000000,0.031950,0.031950,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
47.500000,3.061732,3.067000,3.040000,6.000000,0.000000,0.034441,0.034441,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
48.000000,3.060196,3.060000,3.070000,6.000000,0.000000,0.036859,0.036859,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
48.500000,3.058634,3.064000,3.050000,6.000000,0.000000,0.037474,0.037474,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
49.000000,3.057146,3.058000,3.060000,6.000000,0.000000,0.035723,0.035723,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
49.500000,3.055735,3.054000,3.070000,6.000000,0.000000,0.033853,0.033853,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
50.000000,3.054386,3.054000,3.060000,6.000000,0.000000,0.032393,0.032393,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
50.500000,3.053065,3.051000,3.050000,6.000000,0.000000,0.031690,0.031690,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
51.000000,3.051642,3.053000,3.040000,6.000000,0.000000,0.034154,0.034154,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
51.500000,3.050110,3.052000,3.050000,6.000000,0.000000,0.036764,0.036764,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
52.000000,3.048641,3.053000,3.030000,6.000000,0.000000,0.035276,0.035276,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
52.500000,3.047138,3.047000,3.050000,6.000000,0.000000,0.036062,0.036062,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
53.000000,3.045781,3.051000,3.040000,6.000000,0.000000,0.032567,0.032567,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
53.500000,3.044265,3.045000,3.030000,6.000000,0.000000,0.036396,0.036396,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
54.000000,3.042919,3.048000,3.040000,6.000000,0.000000,0.032302,0.032302,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
54.500000,3.041515,3.036000,3.050000,6.000000,0.000000,0.033684,0.033684,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
55.000000,3.040181,3.038000,3.050000,6.000000,0.000000,0.032032,0.032032,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
55.500000,3.038620,3.037000,3.040000,6.000000,0.000000,0.037452,0.037452,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
56.000000,3.037206,3.033000,3.040000,6.000000,0.000000,0.033930,0.033930,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
56.500000,3.035646,3.037000,3.030000,6.000000,0.000000,0.037447,0.037447,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
57.000000,3.034092,3.033000,3.010000,6.000000,0.000000,0.037301,0.037301,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
57.500000,3.032700,3.035000,3.030000,6.000000,0.000000,0.033391,0.033391,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
58.000000,3.031175,3.030000,3.030000,6.000000,0.000000,0.036617,0.036617,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
58.500000,3.029605,3.030000,3.020000,6.000000,0.000000,0.037671,0.037671,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
59.000000,3.028284,3.030000,3.050000,6.000000,0.000000,0.031701,0.031701,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
59.500000,3.026872,3.033000,3.030000,6.000000,0.000000,0.033882,0.033882,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
60.000000,3.025283,3.032000,3.030000,6.000000,0.000000,0.038136,0.038136,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
60.500000,3.023770,3.020000,3.020000,6.000000,0.000000,0.036334,0.036334,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
61.000000,3.022392,3.021000,3.020000,6.000000,0.000000,0.033051,0.033051,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
61.500000,3.020925,3.014000,3.030000,6.000000,0.000000,0.035216,0.035216,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
62.000000,3.019534,3.020000,3.020000,6.000000,0.000000,0.033396,0.033396,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
