experiment_id,t_s,requested_setpoint_m,effective_setpoint_m,backstop_decision,pump_command,pump_permitted,pump_energised,valve_position,true_tank_level_m
EXP-SCN004-backstop-enabled-41fa58ff,23.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.132003
EXP-SCN004-backstop-enabled-41fa58ff,23.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.130660
EXP-SCN004-backstop-enabled-41fa58ff,24.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.129095
EXP-SCN004-backstop-enabled-41fa58ff,24.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.127629
EXP-SCN004-backstop-enabled-41fa58ff,25.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.126051
EXP-SCN004-backstop-enabled-41fa58ff,25.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.124568
EXP-SCN004-backstop-enabled-41fa58ff,26.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.123086
EXP-SCN004-backstop-enabled-41fa58ff,26.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.121642
EXP-SCN004-backstop-enabled-41fa58ff,27.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.120069
EXP-SCN004-backstop-enabled-41fa58ff,27.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.118500
EXP-SCN004-backstop-enabled-41fa58ff,28.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.117155
EXP-SCN004-backstop-enabled-41fa58ff,28.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.115590
EXP-SCN004-backstop-enabled-41fa58ff,29.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.114059
EXP-SCN004-backstop-enabled-41fa58ff,29.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.112477
EXP-SCN004-backstop-enabled-41fa58ff,30.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.111017
EXP-SCN004-backstop-enabled-41fa58ff,30.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.109672
EXP-SCN004-backstop-enabled-41fa58ff,31.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.108231
EXP-SCN004-backstop-enabled-41fa58ff,31.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.106716
EXP-SCN004-backstop-enabled-41fa58ff,32.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.105324
EXP-SCN004-backstop-enabled-41fa58ff,32.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.103793
EXP-SCN004-backstop-enabled-41fa58ff,33.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.102466
EXP-SCN004-backstop-enabled-41fa58ff,33.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.100948
EXP-SCN004-backstop-enabled-41fa58ff,34.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.099346
EXP-SCN004-backstop-enabled-41fa58ff,34.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.097880
EXP-SCN004-backstop-enabled-41fa58ff,35.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.096551
EXP-SCN004-backstop-enabled-41fa58ff,35.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.095160
EXP-SCN004-backstop-enabled-41fa58ff,36.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.093727
