t_s,true_tank_level_m,reported_tank_level_m,independent_level_m,true_source_level_m,true_inflow_m3_s,true_outflow_m3_s,demand_m3_s,service_shortfall_ratio,spill_volume_m3,pump_energised,pump_permitted,valve_position,requested_setpoint_m,effective_setpoint_m,supervisory_available,consequence_level,violated_invariants
17.500000,3.148212,3.148000,3.150000,6.000000,0.000000,0.038176,0.038176,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
18.000000,3.146660,3.140000,3.150000,6.000000,0.000000,0.037252,0.037252,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
18.500000,3.145218,3.135000,3.150000,6.000000,0.000000,0.034610,0.034610,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
19.000000,3.143847,3.148000,3.130000,6.000000,0.000000,0.032902,0.032902,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
19.500000,3.142388,3.143000,3.150000,6.000000,0.000000,0.035017,0.035017,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
20.000000,3.140856,3.137000,3.130000,6.000000,0.000000,0.036753,0.036753,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
20.500000,3.139436,3.135000,3.150000,6.000000,0.000000,0.034083,0.034083,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
21.000000,3.138083,3.140000,3.130000,6.000000,0.000000,0.032468,0.032468,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
21.500000,3.136531,3.127000,3.140000,6.000000,0.000000,0.037257,0.037257,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
22.000000,3.134981,3.137000,3.150000,6.000000,0.000000,0.037200,0.037200,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
22.500000,3.133502,3.139000,3.140000,6.000000,0.000000,0.035484,0.035484,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
23.000000,3.132003,3.131000,3.120000,6.000000,0.000000,0.035981,0.035981,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
23.500000,3.130660,3.135000,3.140000,6.000000,0.000000,0.032231,0.032231,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
24.000000,3.129095,3.120000,3.140000,6.000000,0.000000,0.037575,0.037575,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
24.500000,3.127629,3.125000,3.130000,6.000000,0.000000,0.035177,0.035177,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
25.000000,3.126051,3.129000,3.150000,6.000000,0.000000,0.037868,0.037868,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
25.500000,3.124568,3.127000,3.120000,6.000000,0.000000,0.035604,0.035604,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
26.000000,3.123086,3.119000,3.120000,6.000000,0.000000,0.035564,0.035564,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
26.500000,3.121642,3.122000,3.130000,6.000000,0.000000,0.034656,0.034656,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
27.000000,3.120069,3.124000,3.100000,6.000000,0.000000,0.037747,0.037747,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
27.500000,3.118500,3.124000,3.140000,6.000000,0.000000,0.037648,0.037648,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
28.000000,3.117155,3.124000,3.130000,6.000000,0.000000,0.032285,0.032285,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
28.500000,3.115590,3.112000,3.110000,6.000000,0.000000,0.037555,0.037555,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
29.000000,3.114059,3.110000,3.110000,6.000000,0.000000,0.036748,0.036748,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
29.500000,3.112477,3.109000,3.120000,6.000000,0.000000,0.037973,0.037973,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
30.000000,3.111017,3.124000,3.100000,6.000000,0.000000,0.035048,0.035048,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
30.500000,3.109672,3.115000,3.090000,6.000000,0.000000,0.032261,0.032261,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
31.000000,3.108231,3.113000,3.110000,6.000000,0.000000,0.034582,0.034582,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
31.500000,3.106716,3.113000,3.100000,6.000000,0.000000,0.036368,0.036368,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
32.000000,3.105324,3.102000,3.100000,6.000000,0.000000,0.033404,0.033404,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
32.500000,3.103793,3.097000,3.100000,6.000000,0.000000,0.036747,0.036747,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
33.000000,3.102466,3.102000,3.100000,6.000000,0.000000,0.031861,0.031861,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
33.500000,3.100948,3.104000,3.090000,6.000000,0.000000,0.036425,0.036425,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
34.000000,3.099346,3.099000,3.110000,6.000000,0.000000,0.038440,0.038440,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
34.500000,3.097880,3.097000,3.100000,6.000000,0.000000,0.035189,0.035189,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
35.000000,3.096551,3.096000,3.110000,6.000000,0.000000,0.031902,0.031902,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
35.500000,3.095160,3.096000,3.100000,6.000000,0.000000,0.033369,0.033369,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
36.000000,3.093727,3.093000,3.090000,6.000000,0.000000,0.034397,0.034397,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
36.500000,3.092345,3.095000,3.090000,6.000000,0.000000,0.033169,0.033169,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
37.000000,3.090827,3.094000,3.090000,6.000000,0.000000,0.036425,0.036425,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
37.500000,3.089327,3.093000,3.090000,6.000000,0.000000,0.036017,0.036017,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
38.000000,3.087999,3.093000,3.090000,6.000000,0.000000,0.031871,0.031871,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
38.500000,3.086498,3.091000,3.070000,6.000000,0.000000,0.036026,0.036026,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
39.000000,3.085108,3.085000,3.100000,6.000000,0.000000,0.033363,0.033363,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
39.500000,3.083582,3.084000,3.090000,6.000000,0.000000,0.036619,0.036619,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
40.000000,3.082072,3.080000,3.080000,6.000000,0.000000,0.036239,0.036239,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
40.500000,3.080686,3.082000,3.080000,6.000000,0.000000,0.033259,0.033259,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
41.000000,3.079160,3.088000,3.060000,6.000000,0.000000,0.036618,0.036618,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
41.500000,3.077749,3.086000,3.090000,6.000000,0.000000,0.033881,0.033881,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
42.000000,3.076371,3.069000,3.060000,6.000000,0.000000,0.033071,0.033071,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
42.500000,3.074906,3.072000,3.090000,6.000000,0.000000,0.035150,0.035150,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
43.000000,3.073564,3.077000,3.080000,6.000000,0.000000,0.032199,0.032199,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
43.500000,3.072167,3.084000,3.070000,6.000000,0.000000,0.033541,0.033541,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
44.000000,3.070624,3.070000,3.060000,6.000000,0.000000,0.037037,0.037037,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
44.500000,3.069279,3.070000,3.060000,6.000000,0.000000,0.032266,0.032266,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
45.000000,3.067962,3.076000,3.080000,6.000000,0.000000,0.031625,0.031625,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
45.500000,3.066510,3.061000,3.060000,6.000000,0.000000,0.034835,0.034835,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
46.000000,3.065192,3.070000,3.060000,6.000000,0.000000,0.031645,0.031645,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
46.500000,3.063713,3.065000,3.070000,6.000000,0.000000,0.035491,0.035491,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
47.000000,3.062373,3.056000,3.060000,6.000000,0.000000,0.032145,0.032145,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
47.500000,3.060958,3.063000,3.040000,6.000000,0.000000,0.033980,0.033980,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
48.000000,3.059613,3.059000,3.070000,6.000000,0.000000,0.032261,0.032261,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
48.500000,3.058251,3.057000,3.090000,6.000000,0.000000,0.032700,0.032700,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
49.000000,3.056669,3.049000,3.070000,6.000000,0.000000,0.037974,0.037974,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
49.500000,3.055290,3.057000,3.070000,6.000000,0.000000,0.033080,0.033080,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
50.000000,3.053845,3.060000,3.060000,6.000000,0.000000,0.034686,0.034686,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
50.500000,3.052314,3.047000,3.060000,6.000000,0.000000,0.036741,0.036741,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
51.000000,3.050818,3.052000,3.060000,6.000000,0.000000,0.035910,0.035910,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
51.500000,3.049321,3.050000,3.050000,6.000000,0.000000,0.035924,0.035924,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
52.000000,3.047741,3.043000,3.050000,6.000000,0.000000,0.037923,0.037923,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
52.500000,3.046190,3.049000,3.050000,6.000000,0.000000,0.037214,0.037214,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
53.000000,3.044736,3.048000,3.050000,6.000000,0.000000,0.034896,0.034896,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
53.500000,3.043297,3.046000,3.060000,6.000000,0.000000,0.034554,0.034554,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
54.000000,3.041889,3.032000,3.050000,6.000000,0.000000,0.033779,0.033779,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
54.500000,3.040469,3.037000,3.040000,6.000000,0.000000,0.034091,0.034091,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
55.000000,3.039017,3.033000,3.040000,6.000000,0.000000,0.034838,0.034838,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
55.500000,3.037644,3.030000,3.030000,6.000000,0.000000,0.032954,0.032954,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
56.000000,3.036124,3.032000,3.030000,6.000000,0.000000,0.036484,0.036484,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
56.500000,3.034809,3.036000,3.020000,6.000000,0.000000,0.031548,0.031548,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
57.000000,3.033241,3.026000,3.030000,6.000000,0.000000,0.037634,0.037634,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
57.500000,3.031924,3.041000,3.030000,6.000000,0.000000,0.031626,0.031626,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
58.000000,3.030397,3.035000,3.030000,6.000000,0.000000,0.036646,0.036646,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
58.500000,3.028799,3.030000,3.020000,6.000000,0.000000,0.038345,0.038345,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
59.000000,3.027330,3.037000,3.030000,6.000000,0.000000,0.035250,0.035250,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
59.500000,3.025738,3.026000,3.000000,6.000000,0.000000,0.038209,0.038209,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
60.000000,3.024341,3.020000,3.030000,6.000000,0.000000,0.033536,0.033536,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
60.500000,3.022928,3.019000,3.020000,6.000000,0.000000,0.033912,0.033912,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
61.000000,3.021504,3.027000,3.020000,6.000000,0.000000,0.034164,0.034164,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
61.500000,3.019962,3.014000,3.030000,6.000000,0.000000,0.037009,0.037009,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
62.000000,3.018496,3.016000,3.020000,6.000000,0.000000,0.035194,0.035194,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
62.500000,3.016969,3.010000,3.010000,6.000000,0.000000,0.036646,0.036646,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
63.000000,3.015617,3.025000,3.000000,6.000000,0.000000,0.032440,0.032440,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
